api-1  | INFO:     Started server process [10]
api-1  | {"timestamp": "2026-04-03T20:14:36.215285+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "c6fc950b", "trace_id": "5ed245c0ea2ca52159c636bf94d7fdf4", "span_id": "130fdaf968969f67", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/tasks/", "status_code": 200, "duration_ms": 22.98}}
api-1  | {"timestamp": "2026-04-03T20:14:43.628399+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "8b2f264e", "trace_id": "e5ebf27e367eec9d777c73109e56aefa", "span_id": "5023038cbc2aab82", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/8/status"}}
api-1  | {"timestamp": "2026-04-03T20:14:43.669527+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "8b2f264e", "trace_id": "e5ebf27e367eec9d777c73109e56aefa", "span_id": "5023038cbc2aab82", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "PATCH", "path": "/api/v1/tasks/8/status", "status_code": 200, "duration_ms": 41.06}}
api-1  | {"timestamp": "2026-04-03T20:14:43.699980+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "42f6abd7", "trace_id": "9cf1d184b38b3405d4f08622157a9494", "span_id": "4f7c5322ac4f0eb0", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/tasks/"}}
api-1  | {"timestamp": "2026-04-03T20:14:43.717840+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "42f6abd7", "trace_id": "9cf1d184b38b3405d4f08622157a9494", "span_id": "4f7c5322ac4f0eb0", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/tasks/", "status_code": 200, "duration_ms": 17.78}}
api-1  | {"timestamp": "2026-04-03T20:14:50.597522+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "63e6d9c7", "trace_id": "d4c7c890cfb4641505610a1ba789324e", "span_id": "39a02540ce7b89f5", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/18/checklist"}}
api-1  | {"timestamp": "2026-04-03T20:14:50.605870+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "1a71bf68", "trace_id": "67c3e3381f01f23c3563b7e40c3af866", "span_id": "efda4292350459ac", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/documents/"}}
api-1  | {"timestamp": "2026-04-03T20:14:50.637209+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "63e6d9c7", "trace_id": "d4c7c890cfb4641505610a1ba789324e", "span_id": "39a02540ce7b89f5", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/18/checklist", "status_code": 200, "duration_ms": 39.06}}
api-1  | {"timestamp": "2026-04-03T20:14:50.658794+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "1a71bf68", "trace_id": "67c3e3381f01f23c3563b7e40c3af866", "span_id": "efda4292350459ac", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/documents/", "status_code": 200, "duration_ms": 52.68}}
api-1  | {"timestamp": "2026-04-03T20:15:05.164645+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "eadb9383", "trace_id": "8c9ff0132b7023adad3fe90b4b0ef0d5", "span_id": "d7d676a74c995760", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/18/timeline"}}
api-1  | {"timestamp": "2026-04-03T20:15:05.195297+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "eadb9383", "trace_id": "8c9ff0132b7023adad3fe90b4b0ef0d5", "span_id": "d7d676a74c995760", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/18/timeline", "status_code": 200, "duration_ms": 30.58}}
api-1  | {"timestamp": "2026-04-03T20:15:11.854168+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "840b73d3", "trace_id": "3dbec38752efcbb57c31aec5d81e1cc8", "span_id": "92dd268e49cd0555", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/ai/jobs"}}
api-1  | {"timestamp": "2026-04-03T20:15:11.855415+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "f1d67eba", "trace_id": "48352ebd34b0597b4a4c1fe1ac0eaa7d", "span_id": "2cc2223251726b96", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/ai/status"}}
api-1  | {"timestamp": "2026-04-03T20:15:11.910207+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "f1d67eba", "trace_id": "48352ebd34b0597b4a4c1fe1ac0eaa7d", "span_id": "2cc2223251726b96", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/ai/status", "status_code": 200, "duration_ms": 54.71}}
api-1  | {"timestamp": "2026-04-03T20:15:11.992841+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "840b73d3", "trace_id": "3dbec38752efcbb57c31aec5d81e1cc8", "span_id": "92dd268e49cd0555", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/ai/jobs", "status_code": 200, "duration_ms": 138.57}}
api-1  | {"timestamp": "2026-04-03T20:15:22.677236+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "eda3bf1c", "trace_id": "c8d14372d17357e87d2aaf83d20a18cc", "span_id": "61c0633ca38131dd", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/18/dossier"}}
api-1  | {"timestamp": "2026-04-03T20:15:22.715654+00:00", "level": "info", "service": "api", "logger": "app.api.v1.dossier", "tenant_id": "2", "user_id": "1", "request_id": "eda3bf1c", "trace_id": "c8d14372d17357e87d2aaf83d20a18cc", "span_id": "61c0633ca38131dd", "action": "app.api.v1.dossier", "message": "Dossiê gerado: process_id=18 inconsistencias=2", "metadata": {}}
api-1  | {"timestamp": "2026-04-03T20:15:22.717314+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "eda3bf1c", "trace_id": "c8d14372d17357e87d2aaf83d20a18cc", "span_id": "61c0633ca38131dd", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/18/dossier", "status_code": 200, "duration_ms": 39.98}}
api-1  | {"timestamp": "2026-04-03T20:15:25.078752+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "b9f3fbac", "trace_id": "fbd124b027af468c2dc6131f6b01a5df", "span_id": "187025e646580677", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/"}}
api-1  | {"timestamp": "2026-04-03T20:15:25.083351+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "3f7b7eec", "trace_id": "08e361b8c69de076bffc9e311e0a8b06", "span_id": "c5c03cdd08fd456a", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/clients/"}}
api-1  | {"timestamp": "2026-04-03T20:15:25.127030+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "3f7b7eec", "trace_id": "08e361b8c69de076bffc9e311e0a8b06", "span_id": "c5c03cdd08fd456a", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/clients/", "status_code": 200, "duration_ms": 43.61}}
api-1  | {"timestamp": "2026-04-03T20:15:25.136864+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "b9f3fbac", "trace_id": "fbd124b027af468c2dc6131f6b01a5df", "span_id": "187025e646580677", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/", "status_code": 200, "duration_ms": 58.05}}
api-1  | {"timestamp": "2026-04-03T20:15:29.916195+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "87c1b9ee", "trace_id": "ca5221e77dda73dc7b32f02176b9268a", "span_id": "bd8de800fb80a9f0", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/dashboard/summary"}}
api-1  | {"timestamp": "2026-04-03T20:15:29.949881+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "27602207", "trace_id": "bbf099b376ba8871744d94b118639412", "span_id": "0ce1748205a9e19e", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/dashboard/activities"}}
api-1  | {"timestamp": "2026-04-03T20:15:29.958321+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "504369d1", "trace_id": "408351358b11d07e6c312e376fc51445", "span_id": "d13dfd4e6b06071a", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/dashboard/my-tasks"}}
api-1  | {"timestamp": "2026-04-03T20:15:29.960688+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "27602207", "trace_id": "bbf099b376ba8871744d94b118639412", "span_id": "0ce1748205a9e19e", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/dashboard/activities", "status_code": 404, "duration_ms": 10.74}}
api-1  | {"timestamp": "2026-04-03T20:15:29.962931+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "504369d1", "trace_id": "408351358b11d07e6c312e376fc51445", "span_id": "d13dfd4e6b06071a", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/dashboard/my-tasks", "status_code": 404, "duration_ms": 4.47}}
api-1  | {"timestamp": "2026-04-03T20:15:29.976265+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "87c1b9ee", "trace_id": "ca5221e77dda73dc7b32f02176b9268a", "span_id": "bd8de800fb80a9f0", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/dashboard/summary", "status_code": 200, "duration_ms": 60.02}}
api-1  | {"timestamp": "2026-04-03T20:15:50.158724+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "a5455a54", "trace_id": "cda51b9904aa88389bd5cf56eb587fc3", "span_id": "39af08597e88e883", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/clients/"}}
api-1  | {"timestamp": "2026-04-03T20:15:50.160971+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "62f7a9a4", "trace_id": "9c60f71fda23233a1105786adc8c70c4", "span_id": "1041606d19cb32d6", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/"}}
api-1  | {"timestamp": "2026-04-03T20:15:50.193533+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "a5455a54", "trace_id": "cda51b9904aa88389bd5cf56eb587fc3", "span_id": "39af08597e88e883", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/clients/", "status_code": 200, "duration_ms": 34.75}}
api-1  | {"timestamp": "2026-04-03T20:15:50.199450+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "62f7a9a4", "trace_id": "9c60f71fda23233a1105786adc8c70c4", "span_id": "1041606d19cb32d6", "action": "http.request.finished", "message": "HTTP request finished", "metadata": {"method": "GET", "path": "/api/v1/processes/", "status_code": 200, "duration_ms": 38.4}}
api-1  | {"timestamp": "2026-04-03T20:15:52.242505+00:00", "level": "info", "service": "api", "logger": "app.api.middleware", "tenant_id": "2", "user_id": "1", "request_id": "aaa2262d", "trace_id": "9dd35f7b4175d00638d42bae77423743", "span_id": "eeb040fe70af1f5b", "action": "http.request.started", "message": "HTTP request started", "metadata": {"method": "GET", "path": "/api/v1/processes/4/timeline"}}
